# k[h/Mpc]   R1   R2 
# 
7.2599e-03 6.2450e+01 -1.4364e+01
7.3271e-03 6.3885e+01 -1.4679e+01
7.3949e-03 6.5350e+01 -1.5001e+01
7.4634e-03 6.6845e+01 -1.5328e+01
7.5325e-03 6.8372e+01 -1.5662e+01
7.6022e-03 6.9932e+01 -1.6003e+01
7.6726e-03 7.1523e+01 -1.6350e+01
7.7436e-03 7.3148e+01 -1.6704e+01
7.8153e-03 7.4806e+01 -1.7064e+01
7.8877e-03 7.6499e+01 -1.7431e+01
7.9607e-03 7.8225e+01 -1.7805e+01
8.0344e-03 7.9987e+01 -1.8186e+01
8.1088e-03 8.1784e+01 -1.8574e+01
8.1838e-03 8.3618e+01 -1.8969e+01
8.2596e-03 8.5488e+01 -1.9371e+01
8.3361e-03 8.7394e+01 -1.9780e+01
8.4132e-03 8.9339e+01 -2.0197e+01
8.4911e-03 9.1322e+01 -2.0621e+01
8.5697e-03 9.3344e+01 -2.1053e+01
8.6491e-03 9.5405e+01 -2.1492e+01
8.7291e-03 9.7506e+01 -2.1939e+01
8.8099e-03 9.9648e+01 -2.2393e+01
8.8915e-03 1.0183e+02 -2.2856e+01
8.9738e-03 1.0406e+02 -2.3326e+01
9.0569e-03 1.0632e+02 -2.3805e+01
9.1407e-03 1.0864e+02 -2.4292e+01
9.2253e-03 1.1099e+02 -2.4787e+01
9.3107e-03 1.1339e+02 -2.5290e+01
9.3969e-03 1.1583e+02 -2.5801e+01
9.4839e-03 1.1832e+02 -2.6321e+01
9.5717e-03 1.2086e+02 -2.6850e+01
9.6603e-03 1.2344e+02 -2.7387e+01
9.7498e-03 1.2607e+02 -2.7932e+01
9.8400e-03 1.2875e+02 -2.8486e+01
9.9311e-03 1.3147e+02 -2.9049e+01
1.0023e-02 1.3425e+02 -2.9621e+01
1.0116e-02 1.3707e+02 -3.0201e+01
1.0210e-02 1.3994e+02 -3.0790e+01
1.0304e-02 1.4286e+02 -3.1387e+01
1.0399e-02 1.4583e+02 -3.1994e+01
1.0496e-02 1.4885e+02 -3.2610e+01
1.0593e-02 1.5193e+02 -3.3234e+01
1.0691e-02 1.5505e+02 -3.3868e+01
1.0790e-02 1.5823e+02 -3.4511e+01
1.0890e-02 1.6147e+02 -3.5163e+01
