# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.1367e+00 1.6607e+01 1.2922e+00 1.7126e+00 5.7807e+01 4.2770e+01 1.9720e+01 1.3969e+01 3.1876e+01 -6.8100e+00 -2.5144e+00 4.4058e+00 6.2879e+00 0.0000e+00 0.0000e+00
1.2325e+00 1.3898e+01 8.2564e-01 1.2700e+00 4.8880e+01 3.7134e+01 1.7411e+01 1.2504e+01 2.8590e+01 -6.1919e+00 -2.2231e+00 3.8093e+00 5.5847e+00 0.0000e+00 0.0000e+00
1.3363e+00 1.1582e+01 4.2616e-01 8.7863e-01 4.1052e+01 3.2100e+01 1.5258e+01 1.1166e+01 2.5523e+01 -5.6104e+00 -1.9563e+00 3.2873e+00 4.9500e+00 0.0000e+00 0.0000e+00
1.4488e+00 9.6056e+00 9.1837e-02 5.4089e-01 3.4215e+01 2.7611e+01 1.3263e+01 9.9467e+00 2.2672e+01 -5.0637e+00 -1.7130e+00 2.8308e+00 4.3781e+00 0.0000e+00 0.0000e+00
1.5709e+00 7.9244e+00 -1.7980e-01 2.5797e-01 2.8276e+01 2.3620e+01 1.1431e+01 8.8384e+00 2.0034e+01 -4.5504e+00 -1.4919e+00 2.4318e+00 3.8633e+00 0.0000e+00 0.0000e+00
1.7032e+00 6.4993e+00 -3.9192e-01 2.9676e-02 2.3151e+01 2.0086e+01 9.7631e+00 7.8328e+00 1.7605e+01 -4.0694e+00 -1.2919e+00 2.0834e+00 3.4008e+00 0.0000e+00 0.0000e+00
1.8467e+00 5.2970e+00 -5.4854e-01 -1.4577e-01 1.8764e+01 1.6972e+01 8.2596e+00 6.9225e+00 1.5382e+01 -3.6200e+00 -1.1121e+00 1.7798e+00 2.9858e+00 0.0000e+00 0.0000e+00
2.0022e+00 4.2882e+00 -6.5462e-01 -2.7184e-01 1.5045e+01 1.4244e+01 6.9190e+00 6.1004e+00 1.3360e+01 -3.2016e+00 -9.5132e-01 1.5155e+00 2.6143e+00 0.0000e+00 0.0000e+00
2.1709e+00 3.4472e+00 -7.1602e-01 -3.5356e-01 1.1925e+01 1.1871e+01 5.7377e+00 5.3597e+00 1.1531e+01 -2.8140e+00 -8.0849e-01 1.2860e+00 2.2824e+00 0.0000e+00 0.0000e+00
2.3537e+00 2.7514e+00 -7.3932e-01 -3.9725e-01 9.3409e+00 9.8232e+00 4.7098e+00 4.6942e+00 9.8907e+00 -2.4571e+00 -6.8252e-01 1.0873e+00 1.9866e+00 0.0000e+00 0.0000e+00
2.5520e+00 2.1802e+00 -7.3158e-01 -4.1005e-01 7.2272e+00 8.0711e+00 3.8270e+00 4.0981e+00 8.4296e+00 -2.1308e+00 -5.7230e-01 9.1583e-01 1.7238e+00 0.0000e+00 0.0000e+00
2.7669e+00 1.7152e+00 -6.9996e-01 -3.9935e-01 5.5221e+00 6.5854e+00 3.0788e+00 3.5659e+00 7.1388e+00 -1.8348e+00 -4.7665e-01 7.6833e-01 1.4909e+00 0.0000e+00 0.0000e+00
3.0000e+00 1.3401e+00 -6.5133e-01 -3.7226e-01 4.1662e+00 5.3371e+00 2.4533e+00 3.0923e+00 6.0078e+00 -1.5687e+00 -3.9435e-01 6.4199e-01 1.2852e+00 0.0000e+00 0.0000e+00
